Sample,n-C23,n-C24,C25ene1,C25ene2,n-C25,5-MeC25,3-MeC25,C26-ene1,n-C26,"3,7-; 3,9-DiMeC25",C27-ene1,C27-ene2,"4,8-; 4,10-; 4,12-; 4,14-DiMeC26",n-C27,11-; 13-MeC27,9-MeC27,7-MeC27,5-MeC27,3-MeC27,"5,9-; 5,11-; 5,21-DiMeC27",C28ene1,n-C28,"3,7-; 3,9-DiMeC27","3,7,11-; 3,7,13-; 3,7,15-; 3,9,11-; 3,9,13-; 3,9,15-TriMeC27 ",4-MeC28,3-MeC28,C29diene,C29-ene1,C29-ene2,C29-ene3,"4,12-; 4,14-; 4,16-; 4,18-DiMeC28 ",n-C29,5-MeC29,3-MeC29,n-C30,C31-ene1,n-C31,7-MeC31,5.MeC31,3-MeC31,C33-ene1,n-C33,9-; 11-; 13-MeC33,7-MeC33,5-MeC33,3-MeC33,"3,7-; 3,9-; 3,11-; 3,13-DiMeC33 ",3-MeC34,"4,10-DiMeC34",C35-ene,9-; 11-; 13-MeC35,7-MeC35,5-MeC35,"7,11-; 7,13-DiMeC35",3-MeC35,"3,9-; 3,11-; 3,13-; 3,15-DiMeC35",10-; 12-; 14-MeC36,C38-ene,C39-ene
QLE_CT1_18-05_01,,,,,10179794.51,5067567.406,14946345.27,,3987451.458,4031649.069,1994251.798,,5228152.339,284119448.6,5818444.813,12123428.76,5658646.9,33963693.21,77940038.6,41276026.67,,32303113.16,102543396.9,22085721.71,13129783.48,1974849.954,,,,1769519.865,7300870.847,41129434.25,2040402.935,21873712.56,,,4299085.853,2493851.809,2510206.998,7829772.841,,,1581600.405,3645584.439,3727756.083,9238866.629,3851120.989,11106042.22,2485541.934,,2256324.188,,,,,,,,
QLE_CT1_18-05_02,,,,,1847021.352,1172510.086,3563954.462,,907007.2155,903589.1154,967876.8311,,1884232.122,23670103.78,1297996.221,1522073.008,647663.4124,5665324.173,13509264.23,7411857.675,,4591956.14,21255841.66,3109976,2936525.02,,,,,425611.1903,1899898.137,5640101.243,,3553929.611,,,,,,1234469.517,,,2058735.599,1216364.076,1465018.86,1901875.404,1615874.806,1992512.561,,,,,,,,,,,
QLE_CT1_18-05_03,,,,,9568673.804,5181403.869,14655934.12,,3078624.817,3881878.169,1166201.464,,5401775.548,185539439.9,4711234.449,14203288.19,3657144.854,33239885.1,70006563.85,41379336.31,,51992200.84,99529107,23503601.4,12839705.92,2467106.443,,,,1211208.594,6576329.364,41130841.35,1993570.77,19813831.21,,,3443271.945,2072103.066,2950954.049,7447291.812,,,1199734.457,3882938.653,3227936.848,7861373.096,3382958.598,8717981.947,3277725.732,,3081328.262,,,,,,,,
QLE_CT1_18-05_04,,,,,13740585.09,4830065.046,15894245.16,,4274836.098,3515076.171,1676585.027,,4866447.173,447994504.4,6441068.898,15878559.03,3140556.017,33094997.1,81378695.8,39369288.65,,34820615.7,126163833.9,22644926.52,12485807.45,3172565.737,,,,1209335.657,6110988.181,49131535.44,2163197.476,23902731.47,,,5673220.347,2765663.932,2987332.459,8196289.025,,,2303287.335,3024354.633,3323153.586,8182459.135,4223773.253,9652233.137,3389066.678,,3506677.215,,,,,,,,
QLE_CT1_18-05_05,,,,,7848718.84,4087823.445,11809894.33,,5422358.299,1935457.347,1044071.308,,4983277.122,113798578.7,3572551.267,14631481.87,2834471.857,28949999.51,66423904.46,36335844.09,,48346929.83,88518472.57,18595498.84,11144925.23,2788820.618,,,,981808.7487,5379748.378,35437444.04,1650699.792,16849631.36,,,3529677.644,2663818.473,2481531.183,6457010.249,,,1236373.935,2690224.025,3307076.64,6373081.776,3134397.687,8280448.604,2801800.667,,3750901.8,,,,,,,,
QLE_CT1_19-13_01,,,,,15197425.91,3745825.889,9992416.486,,2863190.713,3797462.164,1176356.613,,2550915.23,227278404.8,7152919.41,17016528.47,2874990.08,36915584.25,66043024.51,31635544.32,,34480160.66,305716297.8,23566820.99,12160555.41,2147954.145,,,,502097.5939,5746675.81,38622037.1,2567522.731,23858508.02,,,3204383.57,4499882.991,3738444.109,11586026.17,,,2635224.37,5170103.085,5763800.459,12052557.45,3319736.961,14359892.27,2516263.189,,5027980.72,,,,,,,,
QLE_CT1_19-13_02,,,,,11907580.13,2165273.975,9381038.275,,3017075.576,2648718.125,896547.4238,,2289676.615,133187403.3,5570716.61,14386485.7,3082590.585,27845943.16,53218705.24,28361886.84,,37135591.68,92956955.5,20155508.66,9588689.255,1464525.958,,,,993886.7172,3980064.074,33931792.72,2328908.587,20093352.45,,,3363250.083,3708532.475,2617144.376,8815382.812,,,2082518.329,3771699.474,3408524.736,9254700.189,3855621.889,11433531.29,2476161.387,,4921424.107,,,,,,,,
QLE_CT1_19-13_03,,,,,12548820.86,2145475.572,8260264.474,,2616751.857,3232678.681,1032199.023,,2069785.649,115733224.1,4938640.255,11818363.85,2057473.981,26884115.82,50849254.49,28637955.98,,41096676.75,94751520.49,20007782.93,9892884.918,1420070.784,,,,671188.3182,3810783.565,32143890.58,2240845.592,17899659.53,,,3392393.544,3696555.548,2638955.441,9699924.834,,,2340049.201,3982871.366,3360682.504,9867087.848,3053570.154,11287429.29,2193525.487,,3975027.299,,,,,,,,
QLE_CT1_19-13_04,,,,,16897239.13,2053869.529,9996700.482,,1974109.77,3120825.604,1724204.008,,3183352.873,293441615.6,4887959.186,11503539.5,2710920.022,30079078.98,57371432.74,28826940.61,,36397601.2,100796733.7,18223514.38,11973786.18,1851611.638,,,,655100.3624,4343796.711,28317898.12,2748993.158,18740651.11,,,2433679.038,4128601.133,2307702.921,8460331.238,,,1305387.668,3044138.913,3017873.436,7561292.958,3393555.057,8780309.196,2235409.551,,3617444.523,,,,,,,,
QLE_CT1_19-13_05,,,,,20070159.82,3137379.586,14750821.59,,3256346.945,5881482.719,1623514.612,,3383580.447,490391419.5,7068256.748,17630179.95,3643731.517,38168144.24,87061058.55,48960949.17,,37572658.1,528530331.1,30443126.51,15646871.13,3164393.634,,,,789373.6314,6383401.934,47611693.31,3935081.321,27569493.32,,,4139365.086,5139610.974,2929438.659,13960418.57,,,2706433.335,5725813.966,4149801.12,12225697.6,6032666.429,20813205.45,3578901.462,,6634179.818,,,,,,,,
QLE_CT2_19-10_01_X3,43760811.71,15450855.42,2830475.253,1489400.054,240058196.2,,,3077860.532,12229080.35,,,97556885.25,,196774235.5,,,,,,,4579017.292,13759931.14,,,,,129961393.5,96369765.25,75019201.6,,,100719236.9,,6114247.934,2649564.429,45281851.27,54541509.57,,,,60496741.35,33367525.46,,,4677962.535,5557438.111,,,,4325719.264,4876006.187,3839515.672,862658.1684,176782.3726,587991.4727,552907.0439,212712.875,57614201.45,338241.8641
QLE_CT2_19-10_02,37254660.02,31259984.03,2197557.387,,210259452.1,,,2936405.815,10405001.5,,,81345847.89,,183021664,,,,,,,4885854.619,13421261.79,,,,,84380899.52,75862704.21,62884381.55,,,94384994.38,,7112556.299,2524147.371,37683591.28,46155285.09,,,,55546009.13,30060325.26,,,3198525.298,5023989.414,,,,3963761.165,1516777.875,1431037.734,194447.2579,576039.0553,698338.5057,,256913.3713,51580272.65,
QLE_CT2_19-10_03,41188675.82,28867739.15,1827367.347,,222217416,,,2390432.422,11341121.18,,,92587053.27,,196823296.2,,,,,,,3350181.308,14723813.54,,,,,132322868.1,95006320.14,73672489.02,,,108908964.9,,9385076.201,2806929.667,37724365.68,49215996.4,,,,58872351.28,857040.6397,,,5090398.4,6324879.817,,,,3158686.308,1029731.016,507644.094,,108983.691,436343.7858,2015807.168,,51634985.94,587424.2475
